name,repo_url,repo_canonical,accepted_date,accepted_year,raw_tags,source_record_url
martini,https://github.com/kyleaoman/martini,github.com/kyleaoman/martini,2024-06-03,2024,data-processing-munging;MARTINI is a modular package for the creation of synthetic resolved HI line observations (data cubes) of smoothed-particle hydrodynamics simulations of galaxies.,https://github.com/pyOpenSci/software-submission/issues/164
ZodiPy,https://github.com/Cosmoglobe/zodipy,github.com/cosmoglobe/zodipy,2024-04-21,2024,scientific-software-wrapper;Zodiacal emission simulations in timestreams or HEALPix for solar system observers.,https://github.com/pyOpenSci/software-submission/issues/161
plot_phylo,https://github.com/KatyBrown/plot_phylo,github.com/katybrown/plot_phylo,2025-01-21,2025,data-visualization;workflow-automation;A Python package to plot a phylogenetic tree on an existing Matplotlib axis.,https://github.com/pyOpenSci/software-submission/issues/160
PetroFit,https://github.com/PetroFit/petrofit,github.com/petrofit/petrofit,2025-02-28,2025,"data-processing-munging;The PetroFit Project is an open-source effort to develop end-to-end tools for making accurate photometric measurements, estimating morphological properties, and fitting 2D models to galaxy images.",https://github.com/pyOpenSci/software-submission/issues/159
harmonize-wq,https://github.com/USEPA/harmonize-wq,github.com/usepa/harmonize-wq,2024-08-10,2024,"data-processing-munging;Standardize, clean, and wrangle Water Quality Portal data into more analytic-ready formats",https://github.com/pyOpenSci/software-submission/issues/157
xnemogcm,https://github.com/rcaneill/xnemogcm/,github.com/rcaneill/xnemogcm,2024-04-02,2024,data-processing-munging;Interface to open NEMO global circulation model output dataset with xarray and create a xgcm grid.,https://github.com/pyOpenSci/software-submission/issues/155
automata,https://github.com/caleb531/automata,github.com/caleb531/automata,2024-06-29,2024,"data-processing-munging;data-visualization;A Python library for simulating finite automata, pushdown automata, and Turing machines.",https://github.com/pyOpenSci/software-submission/issues/152
Plenoptic,https://github.com/plenoptic-org/plenoptic,github.com/plenoptic-org/plenoptic,2026-03-11,2026,a python library for model-based synthesis of perceptual stimuli,https://github.com/pyOpenSci/software-submission/issues/150
SLEPLET,https://github.com/astro-informatics/sleplet,github.com/astro-informatics/sleplet,2024-05-21,2024,data-processing-munging;data-visualization;Slepian Scale-Discretised Wavelets in Python,https://github.com/pyOpenSci/software-submission/issues/149
sunpy,https://github.com/sunpy/sunpy,github.com/sunpy/sunpy,2024-01-18,2024,data-retrieval;data-extraction;data-processing-munging;data-visualization;Python for Solar Physics,https://github.com/pyOpenSci/software-submission/issues/147
